DataType,Size,Algorithm,CPU_MeanTime(ns),CPU_StdDeviation(ns),CPU_AllSorted,CUDA_MeanTime(ns),CUDA_StdDeviation(ns),CUDA_AllSorted,Speedup
Random,2,bubble_sort,100.062,32.7831,true,1.26982e+06,27831.6,true,7.88005e-05
Random,2,merge_sort,374,40,true,1.25295e+06,20652.2,true,0.000298495
Random,2,counting_sort,148,23.0014,true,1.2729e+06,28639.3,true,0.00011627
Random,2,radix_sort,284,76.5106,true,1.34818e+06,30852.2,true,0.000210654
Random,2,heap_sort,154,31.3943,true,0,0,true,0
Random,4,bubble_sort,192,50.9326,true,696168,21410,true,0.000275796
Random,4,merge_sort,902,56.3039,true,469802,24667.4,true,0.00191996
Random,4,counting_sort,210,36.8926,true,418418,30346.2,true,0.00050189
Random,4,radix_sort,496,72.9712,true,588890,60071.8,true,0.000842263
Random,4,heap_sort,272,40.4772,true,0,0,true,0
Random,8,bubble_sort,516,93.3867,true,1.8682e+06,24170.6,true,0.000276201
Random,8,merge_sort,2110.06,125.476,true,567899,8212.91,true,0.00371556
Random,8,counting_sort,316,46.5561,true,420430,19237.1,true,0.000751611
Random,8,radix_sort,1078.12,105.52,true,622049,29495.2,true,0.00173318
Random,8,heap_sort,628,76.5106,true,0,0,true,0
Random,16,bubble_sort,1822.06,202.176,true,6.78069e+06,31847.8,true,0.000268714
Random,16,merge_sort,4986.12,133.313,true,788595,13183.8,true,0.0063228
Random,16,counting_sort,540,45.0659,true,408338,19804.4,true,0.00132243
Random,16,radix_sort,2278,92.9057,true,675953,26861.3,true,0.00337006
Random,16,heap_sort,1496.06,89.4252,true,0,0,true,0
Random,32,bubble_sort,6410.19,406.875,true,2.67975e+07,42925.3,true,0.000239208
Random,32,merge_sort,10736.2,298.919,true,1.24261e+06,14392.8,true,0.00864009
Random,32,counting_sort,946.125,82.6727,true,453817,28439.6,true,0.00208481
Random,32,radix_sort,5324.12,260.111,true,800631,37295.7,true,0.00664991
Random,32,heap_sort,3600.12,171.507,true,0,0,true,0
Random,64,bubble_sort,23142.8,1078.16,true,1.07624e+08,134651,true,0.000215034
Random,64,merge_sort,22148.8,330.453,true,2.1049e+06,18642.7,true,0.0105225
Random,64,counting_sort,1694.06,102.16,true,454297,24605.9,true,0.00372897
Random,64,radix_sort,11638.3,387.19,true,921065,53857.1,true,0.0126357
Random,64,heap_sort,8654.31,358.574,true,0,0,true,0
Random,128,bubble_sort,83344.8,3550.95,true,4.3247e+08,688431,true,0.000192718
Random,128,merge_sort,46711.7,492.922,true,3.84129e+06,46197.8,true,0.0121604
Random,128,counting_sort,3302.12,145.131,true,487763,44131.7,true,0.00676994
Random,128,radix_sort,27512.9,826.414,true,991164,46920.6,true,0.0277582
Random,128,heap_sort,20546.6,722.111,true,0,0,true,0
Random,256,bubble_sort,310720,7014.28,true,1.7297e+09,2.41792e+06,true,0.000179638
Random,256,merge_sort,99153.6,1398.52,true,7.26504e+06,33476.6,true,0.013648
Random,256,counting_sort,6584.12,258.946,true,515260,32896.2,true,0.0127783
Random,256,radix_sort,61866.1,1262.81,true,1.10729e+06,47100.2,true,0.0558716
Random,256,heap_sort,47067.9,1308.52,true,0,0,true,0
