DataType,Size,Algorithm,MeanTime(ns),StdDeviation(ns),AllSorted
Random,2,cuda_bubble_sort,1.26982e+06,27831.6,true
Random,2,cuda_merge_sort,1.25295e+06,20652.2,true
Random,2,cuda_counting_sort,1.2729e+06,28639.3,true
Random,2,cuda_radix_sort,1.34818e+06,30852.2,true
Random,2,cuda_heap_sort,0,0,true
Random,2,cuda_insertion_sort,0,0,true
Random,2,cuda_selection_sort,0,0,true
Random,2,cuda_shell_sort,0,0,true
Random,4,cuda_bubble_sort,696168,21410,true
Random,4,cuda_merge_sort,469802,24667.4,true
Random,4,cuda_counting_sort,418418,30346.2,true
Random,4,cuda_radix_sort,588890,60071.8,true
Random,4,cuda_heap_sort,0,0,true
Random,4,cuda_insertion_sort,0,0,true
Random,4,cuda_selection_sort,0,0,true
Random,4,cuda_shell_sort,0,0,true
Random,8,cuda_bubble_sort,1.8682e+06,24170.6,true
Random,8,cuda_merge_sort,567899,8212.91,true
Random,8,cuda_counting_sort,420430,19237.1,true
Random,8,cuda_radix_sort,622049,29495.2,true
Random,8,cuda_heap_sort,0,0,true
Random,8,cuda_insertion_sort,0,0,true
Random,8,cuda_selection_sort,0,0,true
Random,8,cuda_shell_sort,0,0,true
Random,16,cuda_bubble_sort,6.78069e+06,31847.8,true
Random,16,cuda_merge_sort,788595,13183.8,true
Random,16,cuda_counting_sort,408338,19804.4,true
Random,16,cuda_radix_sort,675953,26861.3,true
Random,16,cuda_heap_sort,0,0,true
Random,16,cuda_insertion_sort,0,0,true
Random,16,cuda_selection_sort,0,0,true
Random,16,cuda_shell_sort,0,0,true
Random,32,cuda_bubble_sort,2.67975e+07,42925.3,true
Random,32,cuda_merge_sort,1.24261e+06,14392.8,true
Random,32,cuda_counting_sort,453817,28439.6,true
Random,32,cuda_radix_sort,800631,37295.7,true
Random,32,cuda_heap_sort,0,0,true
Random,32,cuda_insertion_sort,0,0,true
Random,32,cuda_selection_sort,0,0,true
Random,32,cuda_shell_sort,0,0,true
Random,64,cuda_bubble_sort,1.07624e+08,134651,true
Random,64,cuda_merge_sort,2.1049e+06,18642.7,true
Random,64,cuda_counting_sort,454297,24605.9,true
Random,64,cuda_radix_sort,921065,53857.1,true
Random,64,cuda_heap_sort,0,0,true
Random,64,cuda_insertion_sort,0,0,true
Random,64,cuda_selection_sort,0,0,true
Random,64,cuda_shell_sort,0,0,true
Random,128,cuda_bubble_sort,4.3247e+08,688431,true
Random,128,cuda_merge_sort,3.84129e+06,46197.8,true
Random,128,cuda_counting_sort,487763,44131.7,true
Random,128,cuda_radix_sort,991164,46920.6,true
Random,128,cuda_heap_sort,0,0,true
Random,128,cuda_insertion_sort,0,0,true
Random,128,cuda_selection_sort,0,0,true
Random,128,cuda_shell_sort,0,0,true
Random,256,cuda_bubble_sort,1.7297e+09,2.41792e+06,true
Random,256,cuda_merge_sort,7.26504e+06,33476.6,true
Random,256,cuda_counting_sort,515260,32896.2,true
Random,256,cuda_radix_sort,1.10729e+06,47100.2,true
Random,256,cuda_heap_sort,0,0,true
Random,256,cuda_insertion_sort,0,0,true
Random,256,cuda_selection_sort,0,0,true
Random,256,cuda_shell_sort,0,0,true
